#####,,Name,Type,Location,Region I,Season,Date,Time ,Time of Day,Duration,Recorder,Microphones,Configuration,Sample Rate,Bit Depth,Region,Region III,Region IV
100,24,,,,,,,,,0.968877314814815,,,,,,,,
00086,,WT_AUD_WLD_NA_00086_air,Air,"Jefferson NF, TN",Eastern Temperate Forests,Winter,42802,0.751388888888889,Afternoon,0.0144444444444444,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00087,,WT_AUD_WLD_NA_00087_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,42803,0.499305555555556,Morning,0.0178125,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00088,,WT_AUD_WLD_NA_00088_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,42803,0.0215277777777778,Afternoon,0.0130439814814815,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00089,,WT_AUD_WLD_NA_00089_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,42803,0.0375,Afternoon,0.0138425925925926,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00090,,WT_AUD_WLD_NA_00090_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,42803,0.555555555555556,Afternoon,0.0155092592592593,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00091,,WT_AUD_WLD_NA_00091_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,42803,0.596527777777778,Afternoon,0.0134027777777778,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00092,,WT_AUD_WLD_NA_00092_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,42803,0.625,Afternoon,0.0167592592592593,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00093,,WT_AUD_WLD_NA_00093_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,42803,0.648611111111111,Afternoon,0.0186921296296296,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00094,,WT_AUD_WLD_NA_00094_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,42803,0.670833333333333,Sunset,0.0160416666666667,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00095,,WT_AUD_WLD_NA_00095_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,42803,0.711805555555556,Sunset,0.00934027777777778,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00096,,WT_AUD_WLD_NA_00096_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,42804,0.491666666666667,Morning,0.0139583333333333,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00097,,WT_AUD_WLD_NA_00097_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,42804,0.522916666666667,Afternoon,0.0142708333333333,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00098,,WT_AUD_WLD_NA_00098_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,42804,0.543055555555556,Afternoon,0.0141319444444444,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00099,,WT_AUD_WLD_NA_00099_hyb_pt,Sequence,"Cherokee NF, TN",Eastern Temperate Forests,Winter,42804,0.570833333333333,Afternoon,0.016412037037037,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
00100,✄,WT_AUD_WLD_NA_00100_air,Air,"Kissimmee Prarie Preserve, FL ",Eastern Temperate Forests,Spring,42816,0.717361111111111,Sunset,0.0132407407407407,688T,8040 + 8070,NOS+AB,96 Khz,24 Bit,Southeastern,Region 4,
